Source,Destination,TotalBytes,HttpsBytes,Duration,SourceRisk,DestRisk
157.148.42.233,218.106.117.233,2050,0,2488.284,0,0
123.139.34.151,183.94.22.23,721,0,2493.365,0,0
222.199.191.41,115.156.143.96,120,0,2497.239,0,0
222.199.191.41,115.156.142.121,120,0,2496.930,0,0
222.199.191.41,115.156.142.194,240,0,2495.619,0,0
222.199.191.41,115.156.144.52,120,0,2495.224,0,0
222.199.191.41,115.156.143.10,120,0,2495.135,0,0
157.255.218.116,218.106.117.236,3916,0,2495.504,0,55
123.6.28.35,218.106.117.236,1482,0,2495.849,0,55
122.189.171.106,183.94.22.44,1108,0,2585.663,0,0
122.189.171.106,218.106.117.236,24622,0,2496.262,0,55
61.241.55.185,183.94.22.90,230,0,2496.275,0,0
106.55.130.162,115.156.143.171,1219,0,2496.984,0,0
115.156.143.96,106.55.130.162,291,0,2506.577,0,0
116.132.223.91,218.106.117.236,70914,0,2512.080,0,55
157.148.33.42,218.106.117.232,5375,0,2499.798,0,20
125.44.159.28,218.106.117.236,206,0,2500.230,0,55
116.162.34.80,183.94.22.33,1609,0,2582.694,0,0
116.162.34.80,218.106.117.236,840,0,2553.513,0,55
116.162.34.80,183.95.73.12,922,0,2500.239,0,0
101.71.78.18,183.95.73.33,89982,0,2500.621,0,0
111.192.241.59,218.106.117.236,150,0,2501.373,0,55
101.67.46.5,218.106.117.236,260,0,2502.336,0,55
183.92.0.92,218.106.117.236,150,0,2502.709,0,55
27.44.204.233,218.106.117.229,133,0,2503.030,0,0
122.195.90.165,218.106.117.236,2685,0,2505.545,0,55
106.2.68.222,218.106.117.236,253,0,2506.277,0,55
121.5.96.13,218.106.117.229,1039,0,2506.305,0,0
110.249.203.210,183.94.22.12,1078,0,2567.105,0,0
110.249.203.210,183.95.73.28,860,0,2506.482,0,0
58.144.195.60,218.106.117.236,68696,0,2556.017,0,55
58.144.195.60,183.95.73.18,73178,0,2506.625,0,0
115.156.143.50,13.89.179.8,65691,65691,2515.851,0,0
13.89.179.8,183.94.22.91,275,0,2540.179,0,20
13.89.179.8,218.106.117.229,1106,0,2529.807,0,0
183.94.22.74,192.144.148.85,668,0,2517.822,0,0
192.144.148.85,183.94.22.74,398,0,2546.587,0,0
113.56.189.162,218.106.117.236,240,0,2519.213,0,55
115.53.141.50,183.95.73.33,234,0,2521.141,0,0
58.19.27.17,122.191.18.54,11420,0,2521.346,0,0
124.91.148.230,218.106.117.236,637,0,2525.303,0,55
183.94.22.32,112.132.119.67,417,417,2573.682,0,0
120.241.118.244,183.94.22.33,99257,0,5088.471,0,0
58.19.27.49,58.241.254.106,2481,0,2580.572,0,0
58.19.27.49,119.36.175.53,8726,8726,2527.587,0,0
101.28.253.164,218.106.117.229,7825,0,2528.816,0,0
119.36.225.50,183.95.73.54,898000,0,2529.340,50,0
183.204.244.235,183.95.73.68,5948,0,2530.179,0,0
114.241.6.182,183.95.73.18,45804,0,2530.790,0,0
18.162.179.244,115.156.146.53,198,0,2543.886,0,0
18.162.179.244,218.106.117.236,132,0,2535.766,0,55
223.166.84.155,218.106.117.236,1715,0,2537.114,0,55
112.86.188.21,183.95.73.65,61657,0,2537.222,0,0
114.55.236.88,218.106.117.236,3565,0,2537.951,0,55
119.36.90.147,218.106.117.236,1393,0,2538.494,0,55
23.198.100.160,115.156.143.247,6910,0,2544.042,0,0
23.198.100.160,218.106.117.236,4146,0,2541.401,0,55
157.148.127.122,218.106.117.236,6516,0,2541.419,0,55
157.255.219.229,218.106.117.236,1924,0,2543.509,0,55
112.132.86.39,218.106.117.232,240,0,2545.298,0,20
115.156.142.214,43.142.215.95,3374,3374,2546.819,0,0
111.162.130.203,218.106.117.236,17450,0,2548.459,0,55
1.49.235.98,183.94.22.24,132,0,2552.664,0,0
208.103.161.1,183.95.73.18,247,0,2552.915,0,0
